0/299,7.49G,0.04468,0.01796,0,0.06264,87,640,0.7777,0.6004,0.7016,0.5741,0.04719,0.007429,0
1/299,5.66G,0.03713,0.01763,0,0.05476,87,640,0.7596,0.5931,0.6851,0.5284,0.04633,0.00784,0
2/299,5.9G,0.03728,0.01787,0,0.05515,64,640,0.7899,0.5904,0.6901,0.5618,0.04848,0.007925,0
3/299,5.87G,0.03721,0.01785,0,0.05507,128,640,0.7593,0.5991,0.6911,0.5547,0.04522,0.007872,0
4/299,5.9G,0.03695,0.01766,0,0.05461,39,640,0.7454,0.6202,0.7018,0.5798,0.04608,0.007888,0
5/299,5.93G,0.03676,0.01754,0,0.0543,137,640,0.7464,0.6215,0.705,0.581,0.04514,0.007977,0
6/299,5.86G,0.03661,0.01751,0,0.05412,56,640,0.7571,0.6202,0.7054,0.5784,0.04585,0.00789,0
7/299,5.86G,0.0364,0.01736,0,0.05376,54,640,0.7173,0.6373,0.7068,0.579,0.0451,0.007987,0
8/299,5.85G,0.03634,0.01742,0,0.05376,57,640,0.7662,0.608,0.7047,0.5751,0.04503,0.008045,0
9/299,5.86G,0.03623,0.01741,0,0.05363,47,640,0.7784,0.6025,0.7073,0.5809,0.04456,0.008036,0
10/299,5.9G,0.03609,0.01736,0,0.05346,71,640,0.7502,0.621,0.7086,0.5802,0.04439,0.008041,0
11/299,5.86G,0.03618,0.01724,0,0.05342,53,640,0.7426,0.6317,0.7125,0.5834,0.04437,0.007992,0
12/299,5.86G,0.03605,0.0173,0,0.05335,88,640,0.7776,0.6078,0.7135,0.5833,0.04424,0.007987,0
13/299,5.86G,0.03607,0.01725,0,0.05332,59,640,0.7796,0.6095,0.7141,0.5833,0.04418,0.00799,0
14/299,5.9G,0.03605,0.01732,0,0.05337,60,640,0.7595,0.6237,0.715,0.586,0.04409,0.007978,0
15/299,5.9G,0.036,0.01727,0,0.05327,47,640,0.7671,0.6205,0.7158,0.5863,0.04409,0.007974,0
16/299,5.87G,0.03607,0.01724,0,0.05332,45,640,0.7687,0.6195,0.7162,0.5854,0.04404,0.00798,0
17/299,5.91G,0.03601,0.01725,0,0.05327,47,640,0.7911,0.6043,0.7166,0.5853,0.04405,0.007981,0
18/299,5.87G,0.03592,0.01727,0,0.05319,89,640,0.7766,0.6136,0.7173,0.5873,0.04405,0.007966,0
19/299,5.91G,0.03595,0.01723,0,0.05318,100,640,0.7518,0.629,0.7177,0.587,0.04406,0.007955,0
20/299,5.92G,0.03585,0.01722,0,0.05307,33,640,0.7668,0.6212,0.7187,0.5882,0.04402,0.007938,0
21/299,5.92G,0.03583,0.0172,0,0.05304,41,640,0.7607,0.6255,0.7191,0.5882,0.04397,0.007931,0
22/299,5.87G,0.03584,0.01725,0,0.05309,63,640,0.7635,0.6244,0.7199,0.5875,0.04394,0.007917,0
23/299,5.87G,0.03586,0.01716,0,0.05302,61,640,0.7617,0.6256,0.7203,0.5873,0.04397,0.00791,0
24/299,5.87G,0.03579,0.01722,0,0.05301,31,640,0.7636,0.6249,0.7205,0.588,0.04393,0.007901,0
25/299,5.86G,0.03574,0.01711,0,0.05286,42,640,0.7632,0.6244,0.7207,0.5876,0.04391,0.007886,0
26/299,5.86G,0.03571,0.01722,0,0.05293,116,640,0.7758,0.6163,0.7213,0.5881,0.04382,0.007885,0
27/299,5.86G,0.03578,0.01721,0,0.05299,41,640,0.7705,0.6179,0.7213,0.5878,0.04377,0.007879,0
28/299,5.92G,0.03573,0.01717,0,0.0529,47,640,0.7665,0.6208,0.7216,0.5881,0.04377,0.007871,0
29/299,5.87G,0.03582,0.0171,0,0.05292,51,640,0.7625,0.6251,0.722,0.5887,0.04381,0.007856,0
30/299,5.87G,0.03573,0.01714,0,0.05287,71,640,0.7647,0.6226,0.7223,0.5886,0.04376,0.007859,0
31/299,5.87G,0.03569,0.0171,0,0.05279,41,640,0.7632,0.6245,0.7229,0.5892,0.04369,0.007852,0
32/299,5.87G,0.03571,0.01713,0,0.05284,68,640,0.7562,0.6299,0.7228,0.5911,0.04364,0.007851,0
33/299,5.87G,0.03569,0.01715,0,0.05284,68,640,0.7694,0.6207,0.7222,0.5907,0.04356,0.00785,0
34/299,5.86G,0.03567,0.01714,0,0.05281,39,640,0.76,0.6259,0.7219,0.5928,0.04348,0.007849,0
35/299,5.87G,0.03559,0.01711,0,0.0527,77,640,0.7766,0.6126,0.7211,0.5942,0.04343,0.007854,0
36/299,5.87G,0.03573,0.01711,0,0.05284,44,640,0.7425,0.6344,0.7205,0.594,0.04342,0.007862,0
37/299,5.86G,0.03564,0.01712,0,0.05276,37,640,0.745,0.6322,0.7202,0.5945,0.04342,0.007857,0
38/299,5.92G,0.0356,0.01714,0,0.05274,56,640,0.7534,0.6276,0.7206,0.5942,0.04345,0.007856,0
39/299,5.86G,0.03554,0.01706,0,0.0526,60,640,0.7461,0.632,0.7204,0.5949,0.04346,0.007852,0
40/299,5.87G,0.03559,0.01705,0,0.05264,37,640,0.8028,0.5948,0.7199,0.595,0.04346,0.007851,0
41/299,5.86G,0.03552,0.01714,0,0.05266,40,640,0.7811,0.607,0.7197,0.5951,0.04346,0.007853,0
42/299,5.86G,0.03557,0.01707,0,0.05264,56,640,0.7981,0.5982,0.7198,0.5958,0.04342,0.007856,0
43/299,5.87G,0.0355,0.01701,0,0.05251,33,640,0.8033,0.5938,0.719,0.5958,0.04343,0.007865,0
44/299,5.86G,0.03554,0.01703,0,0.05257,39,640,0.8001,0.5936,0.7184,0.596,0.0434,0.007872,0
45/299,5.87G,0.03559,0.01707,0,0.05266,46,640,0.7607,0.6158,0.7174,0.5961,0.04339,0.007877,0
46/299,5.9G,0.03559,0.01705,0,0.05264,42,640,0.7626,0.6139,0.7174,0.5959,0.04342,0.007887,0
47/299,5.91G,0.03546,0.01701,0,0.05247,34,640,0.7602,0.6156,0.7177,0.5963,0.04337,0.007893,0
48/299,5.86G,0.03549,0.01699,0,0.05248,74,640,0.7588,0.6174,0.7178,0.5967,0.04339,0.007901,0
49/299,5.87G,0.03542,0.01707,0,0.05249,50,640,0.7597,0.6171,0.7174,0.596,0.04338,0.007909,0
50/299,5.86G,0.03551,0.0171,0,0.05261,78,640,0.7609,0.6185,0.7176,0.5965,0.04333,0.007913,0
51/299,5.92G,0.03543,0.01698,0,0.05241,65,640,0.7572,0.6222,0.7178,0.5966,0.04325,0.007917,0
52/299,5.85G,0.03554,0.01706,0,0.0526,42,640,0.7436,0.6285,0.7171,0.5964,0.04314,0.007932,0
53/299,5.9G,0.03548,0.01714,0,0.05262,96,640,0.7469,0.6261,0.7173,0.5963,0.04311,0.007942,0
54/299,5.91G,0.03538,0.017,0,0.05238,40,640,0.7536,0.6211,0.7173,0.5965,0.04307,0.007946,0
55/299,5.91G,0.03547,0.01704,0,0.05252,41,640,0.7198,0.6459,0.7176,0.5966,0.04304,0.007947,0
56/299,5.91G,0.03539,0.01706,0,0.05245,60,640,0.7455,0.6271,0.7182,0.5968,0.043,0.007952,0
57/299,5.92G,0.03543,0.01706,0,0.0525,72,640,0.7465,0.6261,0.7181,0.5963,0.04297,0.007965,0
58/299,5.92G,0.03543,0.01708,0,0.05251,35,640,0.7415,0.6293,0.7175,0.5961,0.043,0.007974,0
59/299,5.92G,0.03544,0.01703,0,0.05246,57,640,0.7573,0.6193,0.718,0.5953,0.04304,0.007976,0
60/299,5.91G,0.03537,0.01702,0,0.05239,39,640,0.7636,0.6146,0.7179,0.595,0.04305,0.007972,0
61/299,5.86G,0.03541,0.01707,0,0.05248,36,640,0.7552,0.6197,0.7178,0.5954,0.04306,0.007978,0
62/299,5.91G,0.03535,0.01706,0,0.05241,61,640,0.7562,0.6205,0.7178,0.5957,0.04304,0.007979,0
63/299,5.87G,0.03537,0.01701,0,0.05238,91,640,0.7522,0.6222,0.7174,0.5952,0.04312,0.00797,0
64/299,5.92G,0.03531,0.01693,0,0.05224,47,640,0.7446,0.6276,0.7168,0.5952,0.04312,0.007968,0
65/299,5.86G,0.03531,0.01698,0,0.05229,112,640,0.7534,0.6215,0.7163,0.5955,0.04311,0.00797,0
66/299,5.93G,0.03532,0.01706,0,0.05237,55,640,0.7521,0.6222,0.7165,0.5946,0.04311,0.007974,0
67/299,5.92G,0.03527,0.01697,0,0.05225,26,640,0.7548,0.6207,0.7166,0.5945,0.04311,0.007983,0
68/299,5.87G,0.03523,0.01697,0,0.0522,52,640,0.7421,0.6293,0.7166,0.5947,0.04306,0.007991,0
69/299,5.87G,0.03529,0.01706,0,0.05235,75,640,0.7388,0.6305,0.7152,0.5945,0.043,0.008003,0
70/299,5.92G,0.03523,0.01694,0,0.05217,40,640,0.7614,0.6146,0.715,0.5941,0.04296,0.008012,0
71/299,5.87G,0.03524,0.01704,0,0.05228,57,640,0.7437,0.627,0.7147,0.5941,0.04296,0.008016,0
72/299,5.87G,0.03521,0.01692,0,0.05213,64,640,0.7436,0.6283,0.7142,0.594,0.04294,0.00802,0
73/299,5.9G,0.03524,0.01701,0,0.05225,47,640,0.738,0.6322,0.7143,0.5941,0.04293,0.008024,0
74/299,5.91G,0.03522,0.0169,0,0.05212,83,640,0.7439,0.6276,0.7146,0.5943,0.04297,0.008029,0
75/299,5.86G,0.03524,0.01694,0,0.05218,49,640,0.7319,0.6364,0.7144,0.5942,0.04296,0.008035,0
76/299,5.91G,0.03516,0.01697,0,0.05214,45,640,0.735,0.6329,0.7137,0.5938,0.04296,0.008043,0
77/299,5.85G,0.03526,0.017,0,0.05226,73,640,0.7388,0.6298,0.7133,0.5936,0.04293,0.008054,0
78/299,5.87G,0.03508,0.01696,0,0.05204,72,640,0.7342,0.6344,0.7128,0.5933,0.04292,0.00806,0
79/299,5.86G,0.03513,0.01691,0,0.05204,38,640,0.728,0.6381,0.713,0.5934,0.0429,0.008066,0
80/299,5.91G,0.03515,0.01699,0,0.05214,43,640,0.7194,0.6466,0.7139,0.5946,0.04287,0.008062,0
81/299,5.85G,0.03513,0.01686,0,0.05199,22,640,0.7349,0.6332,0.7142,0.5949,0.04283,0.008058,0
82/299,5.91G,0.03513,0.01696,0,0.05209,83,640,0.7341,0.6334,0.714,0.595,0.04282,0.008062,0
83/299,5.93G,0.03513,0.01701,0,0.05214,49,640,0.7576,0.6183,0.7135,0.5947,0.04285,0.008067,0
84/299,5.86G,0.03519,0.01695,0,0.05214,54,640,0.7491,0.6247,0.713,0.5943,0.04286,0.00808,0
85/299,5.91G,0.03511,0.01698,0,0.05209,26,640,0.7257,0.6391,0.7124,0.5939,0.04285,0.008092,0
86/299,5.87G,0.03504,0.01686,0,0.0519,40,640,0.7198,0.6427,0.7126,0.5939,0.04278,0.008095,0
87/299,5.92G,0.03507,0.01687,0,0.05194,53,640,0.7182,0.6459,0.7137,0.5951,0.04275,0.008092,0
88/299,5.92G,0.03506,0.01688,0,0.05193,36,640,0.7207,0.6437,0.7134,0.595,0.04273,0.008099,0
89/299,5.86G,0.03507,0.01693,0,0.052,72,640,0.7256,0.6397,0.7141,0.5948,0.04272,0.008099,0
90/299,5.86G,0.03503,0.01685,0,0.05188,66,640,0.7218,0.641,0.7142,0.5949,0.04269,0.008104,0
91/299,5.87G,0.03503,0.01693,0,0.05196,50,640,0.7211,0.6427,0.7142,0.5952,0.04264,0.008103,0
92/299,5.86G,0.03509,0.01691,0,0.052,46,640,0.708,0.653,0.7154,0.5958,0.04258,0.008103,0
93/299,5.86G,0.03502,0.01692,0,0.05193,39,640,0.73,0.6364,0.7162,0.5964,0.04255,0.008104,0
94/299,5.86G,0.03504,0.01685,0,0.05189,62,640,0.7153,0.6488,0.7167,0.5963,0.04257,0.00811,0
95/299,5.91G,0.035,0.01686,0,0.05186,86,640,0.7273,0.6381,0.7154,0.5953,0.04254,0.008118,0
96/299,5.87G,0.03494,0.01687,0,0.05181,52,640,0.7147,0.6508,0.7151,0.5955,0.04255,0.008122,0
97/299,5.87G,0.03486,0.01688,0,0.05174,51,640,0.7424,0.6282,0.7147,0.5954,0.04251,0.008131,0
98/299,5.85G,0.03494,0.01678,0,0.05172,62,640,0.7351,0.6351,0.7155,0.5959,0.04251,0.008132,0
99/299,5.91G,0.03492,0.01689,0,0.05181,40,640,0.7285,0.6391,0.7149,0.596,0.04256,0.00814,0
100/299,5.87G,0.03487,0.01685,0,0.05172,51,640,0.7239,0.641,0.7145,0.5952,0.04259,0.008144,0
101/299,5.92G,0.03492,0.01677,0,0.05169,58,640,0.7355,0.632,0.7138,0.595,0.04263,0.008149,0
102/299,5.92G,0.03493,0.01686,0,0.05179,36,640,0.7357,0.632,0.714,0.5947,0.04266,0.008147,0
103/299,5.87G,0.03491,0.01678,0,0.05169,66,640,0.733,0.6317,0.7137,0.5953,0.04267,0.008152,0
104/299,5.86G,0.03489,0.01692,0,0.05181,65,640,0.7421,0.6259,0.7136,0.5955,0.04268,0.008159,0
105/299,5.86G,0.03483,0.01685,0,0.05168,29,640,0.7311,0.6317,0.7136,0.5962,0.04267,0.008158,0
106/299,5.86G,0.03476,0.01679,0,0.05154,49,640,0.743,0.6232,0.7143,0.5963,0.0426,0.008163,0
107/299,5.87G,0.03481,0.01676,0,0.05157,41,640,0.7346,0.6297,0.7138,0.5966,0.04254,0.008162,0
108/299,5.92G,0.03479,0.01679,0,0.05158,47,640,0.7301,0.6342,0.7138,0.597,0.04257,0.008159,0
109/299,5.87G,0.03479,0.0168,0,0.0516,47,640,0.7398,0.626,0.7139,0.5967,0.04257,0.008157,0
110/299,5.86G,0.03474,0.01674,0,0.05148,32,640,0.7358,0.63,0.7142,0.5967,0.04259,0.008156,0
111/299,5.87G,0.03485,0.01683,0,0.05167,39,640,0.7557,0.6146,0.7131,0.5958,0.0426,0.008164,0
112/299,5.86G,0.03482,0.01682,0,0.05163,45,640,0.7505,0.6161,0.7128,0.5955,0.04255,0.008177,0
113/299,5.86G,0.03466,0.01678,0,0.05144,70,640,0.7376,0.6259,0.7134,0.5959,0.04251,0.008177,0
114/299,5.87G,0.03467,0.01683,0,0.0515,71,640,0.7335,0.6289,0.7139,0.5967,0.04249,0.008177,0
115/299,5.92G,0.03465,0.01677,0,0.05142,64,640,0.7361,0.6259,0.7128,0.5957,0.04247,0.008187,0
116/299,5.92G,0.03461,0.01675,0,0.05135,37,640,0.738,0.6265,0.7123,0.5952,0.04245,0.008192,0
117/299,5.92G,0.03467,0.01678,0,0.05146,43,640,0.7682,0.6053,0.7122,0.5953,0.04244,0.008199,0
118/299,5.87G,0.03462,0.01674,0,0.05136,64,640,0.7717,0.6039,0.7118,0.5948,0.04241,0.008208,0
119/299,5.86G,0.0346,0.01678,0,0.05138,56,640,0.7445,0.6204,0.7115,0.5943,0.04244,0.008208,0
120/299,5.92G,0.03462,0.01675,0,0.05137,42,640,0.7447,0.6223,0.7124,0.595,0.04244,0.008204,0
121/299,5.91G,0.03455,0.01677,0,0.05133,101,640,0.7216,0.6379,0.7121,0.5947,0.04246,0.008216,0
122/299,5.86G,0.03458,0.01674,0,0.05132,56,640,0.7364,0.6281,0.7118,0.5948,0.04246,0.008228,0
123/299,5.86G,0.03457,0.01675,0,0.05132,61,640,0.7332,0.6305,0.7123,0.5953,0.04245,0.008225,0
124/299,5.87G,0.03457,0.01679,0,0.05137,47,640,0.7331,0.629,0.712,0.5949,0.04244,0.008231,0
125/299,5.87G,0.03447,0.01667,0,0.05114,38,640,0.7001,0.6572,0.7133,0.5955,0.04239,0.008231,0
126/299,5.87G,0.03452,0.0168,0,0.05133,40,640,0.7018,0.6591,0.7138,0.5961,0.04236,0.008239,0
127/299,5.86G,0.03449,0.01669,0,0.05118,47,640,0.7198,0.6422,0.7138,0.5963,0.04232,0.008249,0
128/299,5.85G,0.03441,0.01668,0,0.05109,50,640,0.7178,0.6437,0.714,0.5965,0.0423,0.008253,0
129/299,5.87G,0.03448,0.01666,0,0.05114,52,640,0.7266,0.6386,0.7145,0.5965,0.04226,0.008256,0
130/299,5.92G,0.03449,0.01664,0,0.05113,50,640,0.7258,0.6413,0.7143,0.5968,0.04224,0.008257,0
131/299,5.87G,0.03443,0.01673,0,0.05115,39,640,0.7422,0.629,0.7143,0.5971,0.04223,0.008265,0
132/299,5.87G,0.03443,0.01663,0,0.05106,45,640,0.7287,0.6381,0.7146,0.5968,0.04228,0.008257,0
133/299,5.91G,0.03449,0.01664,0,0.05113,67,640,0.7551,0.6178,0.7153,0.5981,0.04229,0.00825,0
134/299,5.91G,0.03438,0.01665,0,0.05104,38,640,0.7468,0.6215,0.7153,0.598,0.04224,0.008255,0
135/299,5.9G,0.03435,0.01664,0,0.051,76,640,0.7478,0.6205,0.7148,0.5975,0.04224,0.008258,0
136/299,5.86G,0.03434,0.01663,0,0.05097,60,640,0.7374,0.6271,0.7146,0.5964,0.04221,0.008256,0
137/299,5.92G,0.03435,0.01665,0,0.05099,45,640,0.7573,0.6145,0.7145,0.5964,0.04225,0.008255,0
138/299,5.91G,0.03436,0.01661,0,0.05097,45,640,0.7551,0.6173,0.7148,0.5975,0.04227,0.008244,0
139/299,5.91G,0.03423,0.01658,0,0.05081,41,640,0.7502,0.6217,0.7151,0.5974,0.04227,0.008242,0
140/299,5.92G,0.03436,0.01664,0,0.05101,51,640,0.7521,0.6192,0.7149,0.5969,0.04225,0.008244,0
141/299,5.86G,0.03431,0.01654,0,0.05085,51,640,0.7545,0.618,0.7148,0.5962,0.04225,0.008241,0
142/299,5.87G,0.03427,0.0166,0,0.05087,51,640,0.764,0.6109,0.7144,0.5955,0.04221,0.00825,0
143/299,5.87G,0.03422,0.01658,0,0.0508,59,640,0.7605,0.6134,0.7137,0.5951,0.04221,0.008243,0
144/299,5.91G,0.03425,0.01657,0,0.05082,47,640,0.7754,0.6056,0.7134,0.594,0.04222,0.008243,0
145/299,5.92G,0.03425,0.01652,0,0.05077,59,640,0.7374,0.6292,0.7124,0.5931,0.0422,0.008253,0
146/299,5.87G,0.0342,0.01653,0,0.05074,47,640,0.7351,0.6322,0.7119,0.5934,0.04216,0.008257,0
147/299,5.92G,0.03414,0.01652,0,0.05067,80,640,0.7652,0.6124,0.7121,0.593,0.04213,0.008264,0
148/299,5.92G,0.03413,0.01652,0,0.05066,81,640,0.7541,0.6173,0.7124,0.5941,0.04206,0.008263,0
149/299,5.91G,0.03408,0.01644,0,0.05052,62,640,0.7514,0.6204,0.7125,0.594,0.04209,0.008265,0
150/299,5.87G,0.03409,0.01653,0,0.05062,55,640,0.7437,0.6261,0.7126,0.5943,0.04208,0.00827,0
151/299,5.87G,0.03417,0.0165,0,0.05067,74,640,0.7358,0.6348,0.7132,0.5936,0.04211,0.008276,0
152/299,5.91G,0.0341,0.0165,0,0.05059,54,640,0.7532,0.6204,0.7121,0.593,0.04211,0.008286,0
153/299,5.86G,0.03399,0.01644,0,0.05043,64,640,0.7348,0.6327,0.7109,0.5918,0.0421,0.008292,0
154/299,5.86G,0.03405,0.01645,0,0.05051,50,640,0.7359,0.6326,0.7104,0.5914,0.04208,0.0083,0
155/299,5.93G,0.03405,0.01653,0,0.05058,61,640,0.7584,0.6153,0.7092,0.5911,0.04209,0.008307,0
156/299,5.87G,0.03401,0.0165,0,0.05051,52,640,0.7632,0.6136,0.7092,0.5912,0.04212,0.008309,0
157/299,5.86G,0.034,0.0164,0,0.0504,38,640,0.7465,0.6253,0.7093,0.5909,0.04214,0.008313,0
158/299,5.87G,0.03392,0.01641,0,0.05032,42,640,0.7372,0.6303,0.7085,0.5907,0.0421,0.008324,0
159/299,5.86G,0.03395,0.01635,0,0.0503,58,640,0.7295,0.6359,0.7083,0.5911,0.04209,0.008324,0
160/299,5.87G,0.03392,0.01639,0,0.0503,70,640,0.751,0.6198,0.7085,0.5904,0.04204,0.008329,0
161/299,5.87G,0.03381,0.0164,0,0.05021,62,640,0.7347,0.632,0.7082,0.5899,0.04202,0.008341,0
162/299,5.91G,0.03394,0.01632,0,0.05026,32,640,0.7287,0.6359,0.709,0.5912,0.04203,0.008342,0
163/299,5.91G,0.03386,0.01632,0,0.05019,41,640,0.7229,0.6395,0.7097,0.5923,0.0421,0.008334,0
164/299,5.86G,0.03388,0.01634,0,0.05022,74,640,0.7188,0.642,0.7096,0.5921,0.04215,0.008329,0
165/299,5.87G,0.03383,0.01631,0,0.05014,43,640,0.7219,0.6395,0.7098,0.5924,0.04222,0.008331,0
166/299,5.92G,0.0338,0.01632,0,0.05012,52,640,0.7081,0.6483,0.71,0.5917,0.04221,0.008338,0
167/299,5.87G,0.03381,0.01632,0,0.05013,47,640,0.7129,0.6452,0.7091,0.5907,0.04216,0.008348,0
168/299,5.87G,0.03367,0.01634,0,0.05001,80,640,0.7085,0.6475,0.7088,0.5913,0.04214,0.008348,0
169/299,5.91G,0.0337,0.01629,0,0.04999,69,640,0.7136,0.6471,0.71,0.5918,0.04214,0.008343,0
170/299,5.86G,0.0338,0.01634,0,0.05013,36,640,0.7166,0.6431,0.7099,0.5913,0.04214,0.008359,0
171/299,5.86G,0.03374,0.01634,0,0.05008,71,640,0.7312,0.6325,0.7106,0.5913,0.04205,0.008372,0
172/299,5.92G,0.0336,0.01625,0,0.04985,33,640,0.7327,0.6305,0.7101,0.5918,0.04202,0.008379,0
173/299,5.91G,0.03359,0.01627,0,0.04987,38,640,0.7372,0.6273,0.7098,0.5913,0.04201,0.008386,0
174/299,5.86G,0.03359,0.01627,0,0.04987,90,640,0.7314,0.628,0.7087,0.5908,0.04198,0.0084,0
175/299,5.87G,0.03355,0.01624,0,0.04979,46,640,0.7247,0.6339,0.7077,0.5897,0.04196,0.008412,0
176/299,5.91G,0.03354,0.01619,0,0.04973,33,640,0.7197,0.6378,0.7075,0.5896,0.04193,0.008424,0
177/299,5.86G,0.03349,0.01623,0,0.04972,141,640,0.7251,0.6344,0.7077,0.5888,0.04195,0.008425,0
178/299,5.87G,0.03354,0.01621,0,0.04976,54,640,0.7179,0.6375,0.7074,0.5876,0.04198,0.008428,0
179/299,5.86G,0.03351,0.01612,0,0.04963,58,640,0.7305,0.63,0.7076,0.5875,0.04199,0.008433,0
180/299,5.87G,0.03346,0.01619,0,0.04965,58,640,0.7299,0.6315,0.7078,0.5882,0.04199,0.008431,0
181/299,5.87G,0.03343,0.01618,0,0.04961,61,640,0.7253,0.6343,0.7081,0.5881,0.04201,0.008428,0
182/299,5.87G,0.03335,0.01621,0,0.04956,42,640,0.7357,0.6271,0.7075,0.5881,0.04203,0.008435,0
183/299,5.86G,0.03337,0.01608,0,0.04946,60,640,0.7394,0.6266,0.7072,0.588,0.04205,0.008437,0
184/299,5.93G,0.03339,0.01606,0,0.04945,40,640,0.7373,0.6266,0.7072,0.5875,0.04211,0.008436,0
185/299,5.92G,0.03331,0.01605,0,0.04936,72,640,0.7328,0.6298,0.7069,0.587,0.0421,0.008438,0
186/299,5.85G,0.0333,0.0161,0,0.0494,73,640,0.7601,0.6102,0.7073,0.5869,0.04216,0.008436,0
187/299,5.87G,0.03328,0.01601,0,0.04929,61,640,0.7555,0.614,0.7074,0.5876,0.04215,0.008434,0
188/299,5.87G,0.03325,0.01604,0,0.04929,44,640,0.7519,0.617,0.7079,0.5872,0.04216,0.008447,0
189/299,5.85G,0.03315,0.01602,0,0.04917,93,640,0.753,0.6158,0.7074,0.5871,0.04212,0.00845,0
190/299,5.86G,0.03309,0.01603,0,0.04912,112,640,0.7519,0.6183,0.7081,0.5871,0.0421,0.008458,0
191/299,5.86G,0.03313,0.01598,0,0.04911,56,640,0.7485,0.6195,0.7083,0.5876,0.0421,0.008464,0
192/299,5.92G,0.03308,0.01597,0,0.04905,65,640,0.7449,0.6185,0.7088,0.5884,0.04208,0.008463,0
193/299,5.91G,0.03309,0.01599,0,0.04907,56,640,0.7409,0.619,0.7083,0.5881,0.04203,0.008469,0
194/299,5.91G,0.03293,0.01591,0,0.04884,76,640,0.7209,0.6344,0.7074,0.5879,0.04203,0.008483,0
195/299,5.91G,0.03304,0.01587,0,0.04891,29,640,0.7269,0.6289,0.7078,0.5878,0.04205,0.008488,0
196/299,5.92G,0.03297,0.01588,0,0.04885,60,640,0.7187,0.6332,0.7063,0.5868,0.04206,0.008498,0
197/299,5.86G,0.03296,0.01592,0,0.04887,53,640,0.7268,0.6268,0.7056,0.5858,0.04206,0.008515,0
198/299,5.87G,0.03297,0.01592,0,0.04888,49,640,0.7383,0.619,0.7051,0.5854,0.042,0.008531,0
199/299,5.93G,0.03295,0.01578,0,0.04873,50,640,0.7433,0.6162,0.705,0.5848,0.04201,0.008535,0
200/299,5.92G,0.03282,0.01584,0,0.04866,38,640,0.7571,0.6065,0.7041,0.5845,0.04196,0.008548,0
201/299,5.91G,0.03283,0.01577,0,0.04859,78,640,0.7309,0.6246,0.7033,0.5838,0.04194,0.008554,0
202/299,5.86G,0.03282,0.01578,0,0.04861,55,640,0.738,0.6215,0.7027,0.5828,0.04192,0.008566,0
203/299,5.86G,0.03278,0.01575,0,0.04853,75,640,0.7294,0.6259,0.7023,0.5831,0.04189,0.008573,0
204/299,5.85G,0.03277,0.01576,0,0.04853,30,640,0.7334,0.6231,0.7025,0.583,0.04185,0.008572,0
205/299,5.92G,0.03274,0.01569,0,0.04843,41,640,0.7618,0.6056,0.7021,0.5827,0.04185,0.008574,0
206/299,5.85G,0.0327,0.01571,0,0.04841,33,640,0.7533,0.6114,0.7026,0.5831,0.04183,0.008573,0
207/299,5.91G,0.03264,0.01573,0,0.04837,86,640,0.7368,0.6225,0.7027,0.5836,0.04175,0.008578,0
208/299,5.91G,0.03258,0.01566,0,0.04823,75,640,0.7374,0.6215,0.7034,0.5844,0.04167,0.008581,0
