"Step","StratifiedKFold-ROC - test/f1-score","StratifiedKFold-ROC - test/f1-score__MIN","StratifiedKFold-ROC - test/f1-score__MAX"
"14","0.7948717948717948","0.7948717948717948","0.7948717948717948"
"29","0.8192771084337349","0.8192771084337349","0.8192771084337349"
"44","0.8571428571428571","0.8571428571428571","0.8571428571428571"
"59","0.8314606741573033","0.8314606741573033","0.8314606741573033"
"74","0.8275862068965518","0.8275862068965518","0.8275862068965518"
"89","0.8275862068965518","0.8275862068965518","0.8275862068965518"
"104","0.8275862068965518","0.8275862068965518","0.8275862068965518"
"119","0.8409090909090908","0.8409090909090908","0.8409090909090908"
"134","0.8409090909090908","0.8409090909090908","0.8409090909090908"
"149","0.8409090909090908","0.8409090909090908","0.8409090909090908"
"164","0.8409090909090908","0.8409090909090908","0.8409090909090908"
"179","0.8409090909090908","0.8409090909090908","0.8409090909090908"
"194","0.8409090909090908","0.8409090909090908","0.8409090909090908"
"209","0.8409090909090908","0.8409090909090908","0.8409090909090908"
"224","0.8409090909090908","0.8409090909090908","0.8409090909090908"
"239","0.8409090909090908","0.8409090909090908","0.8409090909090908"
"254","0.8409090909090908","0.8409090909090908","0.8409090909090908"
"269","0.8275862068965518","0.8275862068965518","0.8275862068965518"
"284","0.8409090909090908","0.8409090909090908","0.8409090909090908"
"299","0.8409090909090908","0.8409090909090908","0.8409090909090908"
"314","0.8409090909090908","0.8409090909090908","0.8409090909090908"
"329","0.8409090909090908","0.8409090909090908","0.8409090909090908"
"344","0.8409090909090908","0.8409090909090908","0.8409090909090908"
"359","0.8409090909090908","0.8409090909090908","0.8409090909090908"
"374","0.8409090909090908","0.8409090909090908","0.8409090909090908"
"389","0.7027027027027027","0.7027027027027027","0.7027027027027027"
"404","0.7272727272727274","0.7272727272727274","0.7272727272727274"
"419","0.8666666666666667","0.8666666666666667","0.8666666666666667"
"434","0.8735632183908046","0.8735632183908046","0.8735632183908046"
"449","0.8735632183908046","0.8735632183908046","0.8735632183908046"
"464","0.8735632183908046","0.8735632183908046","0.8735632183908046"
"479","0.8604651162790697","0.8604651162790697","0.8604651162790697"
"494","0.8735632183908046","0.8735632183908046","0.8735632183908046"
"509","0.8604651162790697","0.8604651162790697","0.8604651162790697"
"524","0.8735632183908046","0.8735632183908046","0.8735632183908046"
"539","0.8735632183908046","0.8735632183908046","0.8735632183908046"
"554","0.8604651162790697","0.8604651162790697","0.8604651162790697"
"569","0.8735632183908046","0.8735632183908046","0.8735632183908046"
"584","0.8735632183908046","0.8735632183908046","0.8735632183908046"
"599","0.8735632183908046","0.8735632183908046","0.8735632183908046"
"614","0.8735632183908046","0.8735632183908046","0.8735632183908046"
"629","0.8735632183908046","0.8735632183908046","0.8735632183908046"
"644","0.8735632183908046","0.8735632183908046","0.8735632183908046"
"659","0.8735632183908046","0.8735632183908046","0.8735632183908046"
"674","0.8735632183908046","0.8735632183908046","0.8735632183908046"
"689","0.8735632183908046","0.8735632183908046","0.8735632183908046"
"704","0.8735632183908046","0.8735632183908046","0.8735632183908046"
"719","0.8735632183908046","0.8735632183908046","0.8735632183908046"
"734","0.8735632183908046","0.8735632183908046","0.8735632183908046"
"749","0.8735632183908046","0.8735632183908046","0.8735632183908046"
"764","0.7848101265822786","0.7848101265822786","0.7848101265822786"
"779","0.8372093023255814","0.8372093023255814","0.8372093023255814"
"794","0.8842105263157894","0.8842105263157894","0.8842105263157894"
"809","0.8695652173913043","0.8695652173913043","0.8695652173913043"
"824","0.8695652173913043","0.8695652173913043","0.8695652173913043"
"839","0.8695652173913043","0.8695652173913043","0.8695652173913043"
"854","0.8695652173913043","0.8695652173913043","0.8695652173913043"
"869","0.8695652173913043","0.8695652173913043","0.8695652173913043"
"884","0.8695652173913043","0.8695652173913043","0.8695652173913043"
"899","0.8695652173913043","0.8695652173913043","0.8695652173913043"
