"Step","StratifiedKFold-ROC - train/f1-score","StratifiedKFold-ROC - train/f1-score__MIN","StratifiedKFold-ROC - train/f1-score__MAX"
"3298","1","1","1"
"3313","1","1","1"
"3328","1","1","1"
"3343","1","1","1"
"3358","1","1","1"
"3373","1","1","1"
"3388","0.6895734597156398","0.6895734597156398","0.6895734597156398"
"3403","0.8738095238095238","0.8738095238095238","0.8738095238095238"
"3418","0.9679802955665026","0.9679802955665026","0.9679802955665026"
"3433","0.9975490196078431","0.9975490196078431","0.9975490196078431"
"3448","1","1","1"
"3463","1","1","1"
"3478","1","1","1"
"3493","1","1","1"
"3508","1","1","1"
"3523","1","1","1"
"3538","1","1","1"
"3553","1","1","1"
"3568","1","1","1"
"3583","1","1","1"
"3598","1","1","1"
"3613","1","1","1"
"3628","1","1","1"
"3643","1","1","1"
"3658","1","1","1"
"3673","1","1","1"
"3688","1","1","1"
"3703","1","1","1"
"3718","1","1","1"
"3733","1","1","1"
"3748","1","1","1"
